Name,Section,Number,Population,FIPS
Somervell,G,27,9294,48425
Starr,O,21,64731,48427
Stephens,G,3,9570,48429
Sterling,C,24,1252,48431
Stonewall,D,36,1523,48433
Sutton,B,13,4381,48435
Swisher,D,3,7414,48437
Tarrant,H,21,2143755,48439
Taylor,G,11,139457,48441
Terrell,A,9,1054,48443
Terry,D,32,13040,48445
Throckmorton,F,22,1519,48447
Titus,I,14,32953,48449
Tom Green,C,35,123276,48451
Travis,M,3,1291502,48453
Trinity,J,13,14233,48455
Tyler,J,15,21343,48457
Upshur,I,22,41655,48459
Upton,C,32,3983,48461
Uvalde,N,2,27937,48463
Val Verde,B,21,48253,48465
Van Zandt,H,25,55469,48467
Victoria,M,41,97744,48469
Walker,K,2,73997,48471
Waller,K,13,50731,48473
Ward,A,13,13592,48475
Washington,K,11,35155,48477
Webb,O,1,276183,48479
Wharton,M,44,41941,48481
Wheeler,E,25,5783,48483
Wichita,F,4,133138,48485
Wilbarger,F,3,13038,48487
Willacy,O,23,22134,48489
Williamson,L,31,589914,48491
Wilson,N,15,51802,48493
Winkler,A,12,9295,48495
Wise,F,24,65807,48497
Wood,I,21,45292,48499
Yoakum,D,31,9225,48501
Young,F,22,18712,48503
Zapata,O,11,14409,48505
Zavala,N,12,12682,48507
