Name,Section,Number,Population,FIPS,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,5-01,5-02,5-03,5-04,5-05,5-06,5-07,5-08,5-09,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-17,5-18,5-19,5-20,5-21,5-22,5-23,5-24,5-25,5-26,5-27,5-28,5-29,5-30,5-31,6-01,6-02,6-03,6-04,6-05,6-06,6-07,6-08,6-09,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-17,6-18,6-19,6-20,6-21,6-22,6-23,6-24,6-25,6-26,6-27,6-28,6-29,6-30,7-01,7-02,7-03,7-04,7-05,7-06,7-07,7-08,7-09,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-17,7-18,7-19,7-20,7-21,7-22,7-23,7-24,7-25,7-26,7-27,7-28,7-29,7-30,7-31,8-01,8-02,8-03,8-04,8-05
Anderson,J,11,58199,48001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24546322592680775,0.24546322592680775,0.24546322592680775,0.24546322592680775,0.24546322592680775,0.24546322592680775,0.24546322592680775,0.0,0.24546322592680775,0.24546322592680775,0.4909264518536155,0.4909264518536155,0.4909264518536155,0.4909264518536155,0.7363896777804233,0.981852903707231,0.981852903707231,0.7363896777804233,1.227316129634039,1.227316129634039,1.7182425814876543,2.454632259268078,1.963705807414462,2.454632259268078,2.454632259268078,2.454632259268078,2.7000954851948853,3.191021937048501,2.20916903334127,3.6819483889021165,3.4364851629753086,3.927411614828924,3.4364851629753086,3.191021937048501,2.7000954851948853,3.6819483889021165,2.7000954851948853,2.7000954851948853,2.20916903334127,2.20916903334127,2.20916903334127,3.927411614828924,2.945558711121693,2.7000954851948853,2.7000954851948853,3.191021937048501,3.191021937048501,3.191021937048501,2.454632259268078,2.7000954851948853,2.945558711121693,2.945558711121693,2.945558711121693,2.945558711121693,2.945558711121693,1.4727793555608466,1.227316129634039,0.7363896777804233,1.963705807414462,1.4727793555608466,1.4727793555608466,1.4727793555608466,2.454632259268078,2.945558711121693,4.663801292609348,3.6819483889021165,3.191021937048501,3.191021937048501,3.191021937048501,3.6819483889021165,3.191021937048501,2.454632259268078,1.963705807414462,4.172874840755732,4.172874840755732,4.172874840755732,220.42597688227337,220.67144010820016,222.88060914154147,223.86246204524866,221.89875623783422,221.89875623783422,221.89875623783422,4.909264518536156,5.6456541963165785,2.7000954851948853,2.454632259268078,2.7000954851948853,2.454632259268078,2.454632259268078,5.6456541963165785,6.62750710002381,12.027698070413582,13.500477425974427,13.009550974120812,16.200572911169314,16.200572911169314,18.65520517043739,27.49188130380247,115.36771618559965,169.12416266357056,178.20630202286245,175.26074331174075,198.3342865488607,198.57974977478747,194.40687493403175,103.8309445670397,59.402100674287475,54.24737292982452,54.24737292982452,30.682903240850973,32.89207227419224,28.964660659363318,29.701050337143737,27.737344529729278,30.19197678899736,30.19197678899736,31.173829692704587,27.246418077875663,27.000954851948855,23.809932914900354,19.637058074144623,16.936962588949736,16.936962588949736,40.501432277923286,40.992358729776896,44.91977034460582
Andrews,C,11,22269,48003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415067711039689,3.8490406266238137,3.8490406266238137,6.41506771103969,6.41506771103969,6.41506771103969,7.056574482143659,6.41506771103969,3.207533855519845,3.8490406266238137,1.9245203133119069,1.9245203133119069,5.773560939935721,5.132054168831751,5.132054168831751,5.132054168831751,4.490547397727783,3.8490406266238137,3.8490406266238137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415067711039689,0.6415067711039689,1.2830135422079378,1.2830135422079378,1.2830135422079378,1.2830135422079378,1.2830135422079378,0.6415067711039689,0.6415067711039689,0.0,0.0,0.6415067711039689,0.6415067711039689,0.6415067711039689,0.6415067711039689,0.6415067711039689,0.6415067711039689,0.6415067711039689,0.0,0.0,0.0,0.6415067711039689,0.6415067711039689,1.2830135422079378,3.207533855519845,3.207533855519845,3.207533855519845,3.207533855519845,2.5660270844158757,2.5660270844158757,1.9245203133119069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415067711039689,0.6415067711039689,0.6415067711039689,1.9245203133119069,1.9245203133119069,3.8490406266238137,5.132054168831751,8.981094795455567,10.264108337663503,10.264108337663503,8.981094795455567,10.264108337663503,11.547121879871442,13.47164219318335,13.47164219318335,18.603696362015103,18.603696362015103,19.88670990422304,23.094243759742884,24.377257301950824,21.811230217534945,22.452736988638915,19.24520313311907,19.24520313311907,17.962189590911134,24.377257301950824,27.58479115747067,26.9432843863667,36.56588595292623,42.33944689286196,42.33944689286196,42.98095366396592,34.64136563961433,28.226297928574635,31.43383178409448,20.528216675327005,12.83013542207938,12.83013542207938,17.962189590911134,24.377257301950824,25.01876407305479,24.377257301950824,24.377257301950824,23.094243759742884,25.01876407305479,21.811230217534945,16.679176048703194,24.377257301950824,23.094243759742884,19.24520313311907,26.30177761526273,25.01876407305479,23.094243759742884,22.452736988638915
Angelina,J,23,90437,48005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15796315983186401,0.15796315983186401,0.15796315983186401,0.473889479495592,0.473889479495592,0.6318526393274561,0.7898157991593201,0.6318526393274561,1.105742118823048,1.4216684384867762,1.105742118823048,1.737594758150504,1.5796315983186402,1.4216684384867762,1.5796315983186402,1.2637052786549121,0.947778958991184,0.947778958991184,0.31592631966372803,0.473889479495592,0.473889479495592,0.7898157991593201,1.105742118823048,1.105742118823048,1.105742118823048,1.105742118823048,1.5796315983186402,2.0535210778142323,1.737594758150504,1.5796315983186402,2.0535210778142323,2.0535210778142323,2.0535210778142323,3.0013000368054166,3.0013000368054166,3.475189516301008,3.317226356469144,3.0013000368054166,3.0013000368054166,3.0013000368054166,5.212784274451512,5.844636913778968,6.318526393274561,7.266305352265745,7.108342192433881,7.108342192433881,7.108342192433881,6.002600073610833,4.896857954787785,4.107042155628465,4.896857954787785,6.160563233442696,6.160563233442696,6.160563233442696,5.844636913778968,5.844636913778968,7.740194831761337,6.476489553106424,5.686673753947105,5.686673753947105,5.686673753947105,3.317226356469144,6.160563233442696,5.212784274451512,4.896857954787785,4.73889479495592,4.73889479495592,4.73889479495592,6.318526393274561,6.160563233442696,4.896857954787785,4.580931635124057,5.0548211146196484,5.0548211146196484,5.0548211146196484,3.475189516301008,7.740194831761337,7.740194831761337,12.163163307053528,11.37334750789421,11.37334750789421,11.37334750789421,14.848537024195217,11.215384348062344,11.215384348062344,9.003900110416248,11.215384348062344,11.215384348062344,11.215384348062344,13.268905425876577,11.689273827557937,14.690573864363355,15.480389663522674,13.268905425876577,13.268905425876577,13.268905425876577,9.635752749743704,12.795015946380985,11.689273827557937,12.163163307053528,12.163163307053528,12.163163307053528,12.163163307053528,21.167063417469777,16.270205462681993,19.903358138814866,22.430768696124687,31.90855828603653,31.90855828603653,31.90855828603653,35.38374780233754,35.38374780233754,46.59913215039989,50.07432166670089,40.59653207678905,40.59653207678905,40.59653207678905,26.221884532089426,63.185263932745606,46.441168990568016,60.49989021560392,63.97507973190492,63.97507973190492,63.97507973190492,76.92805883811778,52.44376906417885,58.76229545745342,35.22578464250567,38.22708467931109,38.22708467931109,38.22708467931109,40.75449523662091,29.8550372082223
Aransas,N,29,27699,48007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157483766819844,0.5157483766819844,0.5157483766819844,1.0314967533639687,1.0314967533639687,1.0314967533639687,1.0314967533639687,0.5157483766819844,0.5157483766819844,0.5157483766819844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157483766819844,0.5157483766819844,0.5157483766819844,0.5157483766819844,0.5157483766819844,0.5157483766819844,1.0314967533639687,1.0314967533639687,1.0314967533639687,1.0314967533639687,1.0314967533639687,1.0314967533639687,1.0314967533639687,0.5157483766819844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157483766819844,0.5157483766819844,0.5157483766819844,0.5157483766819844,1.0314967533639687,1.0314967533639687,1.0314967533639687,0.5157483766819844,0.5157483766819844,0.5157483766819844,0.5157483766819844,1.547245130045953,1.547245130045953,1.547245130045953,2.578741883409922,4.6417353901378595,5.157483766819844,6.704728896865797,6.704728896865797,7.220477273547782,9.283470780275719,9.799219156957703,9.283470780275719,9.283470780275719,11.86221266368564,10.830715910321672,11.346464287003656,10.830715910321672,9.799219156957703,8.25197402691175,10.314967533639688,6.704728896865797,6.704728896865797,9.799219156957703,13.409457793731594,15.988199677141516,18.051193183869454,18.566941560551438,18.566941560551438,25.271670457417233,23.72442532737128,20.11418669059739,18.051193183869454,19.598438313915405,18.051193183869454,20.11418669059739,14.956702923777549,12.89370941704961,18.051193183869454,19.08268993723342,15.47245130045953,15.988199677141516,13.925206170413578,11.86221266368564,13.409457793731594
Archer,F,13,8344,48009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.712094233666621,1.712094233666621,1.712094233666621,1.712094233666621,1.712094233666621,1.712094233666621,1.712094233666621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.712094233666621,1.712094233666621,1.712094233666621,1.712094233666621,3.424188467333242,3.424188467333242,3.424188467333242,1.712094233666621,1.712094233666621,1.712094233666621,1.712094233666621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.712094233666621,3.424188467333242,3.424188467333242,3.424188467333242,5.136282700999863,5.136282700999863,5.136282700999863,5.136282700999863,3.424188467333242,5.136282700999863,5.136282700999863,3.424188467333242,3.424188467333242,3.424188467333242,5.136282700999863,6.848376934666484,5.136282700999863,3.424188467333242,3.424188467333242,3.424188467333242,3.424188467333242,3.424188467333242,1.712094233666621,1.712094233666621,3.424188467333242,3.424188467333242,3.424188467333242,3.424188467333242,1.712094233666621,1.712094233666621,1.712094233666621,1.712094233666621,5.136282700999863,5.136282700999863,5.136282700999863,3.424188467333242,3.424188467333242,6.848376934666484,6.848376934666484,8.560471168333105,8.560471168333105,8.560471168333105,8.560471168333105,8.560471168333105
Armstrong,E,33,1948,48011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,0.0,0.0,0.0,0.0,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.333528894103842,-7.333528894103842,-7.333528894103842,-7.333528894103842,-7.333528894103842,0.0,0.0,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333528894103842,7.333528894103842,7.333528894103842,7.333528894103842,14.667057788207684,14.667057788207684,14.667057788207684,7.333528894103842,29.334115576415368,29.334115576415368,29.334115576415368,29.334115576415368,14.667057788207684
Atascosa,N,14,51831,48013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512420862307995,0.5512420862307995,0.5512420862307995,0.5512420862307995,0.5512420862307995,0.5512420862307995,0.5512420862307995,0.0,0.0,0.0,0.0,0.0,0.27562104311539976,0.5512420862307995,0.8268631293461992,0.8268631293461992,1.3781052155769988,1.6537262586923984,1.9293473018077982,1.6537262586923984,1.3781052155769988,1.102484172461599,1.102484172461599,0.5512420862307995,0.5512420862307995,0.27562104311539976,0.8268631293461992,1.3781052155769988,1.3781052155769988,1.3781052155769988,1.3781052155769988,1.102484172461599,1.102484172461599,0.5512420862307995,0.5512420862307995,0.5512420862307995,1.3781052155769988,1.3781052155769988,1.3781052155769988,1.3781052155769988,1.3781052155769988,0.8268631293461992,1.3781052155769988,0.8268631293461992,0.8268631293461992,0.8268631293461992,0.8268631293461992,1.3781052155769988,2.204968344923198,1.6537262586923984,1.3781052155769988,2.204968344923198,2.204968344923198,2.204968344923198,1.6537262586923984,1.3781052155769988,1.3781052155769988,2.204968344923198,1.3781052155769988,1.3781052155769988,1.3781052155769988,1.3781052155769988,0.8268631293461992,0.8268631293461992,0.0,0.0,0.0,0.5512420862307995,0.5512420862307995,0.5512420862307995,0.5512420862307995,0.8268631293461992,1.6537262586923984,1.6537262586923984,1.3781052155769988,1.3781052155769988,1.3781052155769988,2.204968344923198,1.3781052155769988,0.5512420862307995,0.27562104311539976,0.0,0.0,0.0,-0.8268631293461992,0.5512420862307995,5.236799819192595,7.441768164115794,7.717389207231193,7.717389207231193,10.19797859526979,11.57608381084679,11.57608381084679,6.339283991654194,4.961178776077196,5.512420862307995,5.512420862307995,7.441768164115794,6.614905034769594,7.993010250346593,8.544252336577392,13.229810069539187,12.402946940192988,12.402946940192988,11.57608381084679,12.127325897077588,19.844715104308783,22.325304492347378,19.844715104308783,38.586946036155965,38.586946036155965,35.00387247565577,37.76008290680977,28.664588484001573,28.388967440886173,40.79191438107916,22.04968344923198,22.04968344923198,26.183999095962974,24.805893880385977,27.010862225309175,25.081514923501377,10.47359963838519,10.47359963838519,10.47359963838519,7.166147121000393,4.6855577329617955,4.134315646730996,3.8586946036155965,3.307452517384797,3.307452517384797,3.307452517384797,4.6855577329617955,6.339283991654194
Austin,K,12,30402,48015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.9397877959156822,0.9397877959156822,0.9397877959156822,0.4698938979578411,1.4096816938735233,1.4096816938735233,1.4096816938735233,1.4096816938735233,1.4096816938735233,1.8795755918313644,2.3494694897892057,1.4096816938735233,1.8795755918313644,1.8795755918313644,2.3494694897892057,2.8193633877470465,2.8193633877470465,2.3494694897892057,2.3494694897892057,1.8795755918313644,1.8795755918313644,0.9397877959156822,0.4698938979578411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.4698938979578411,0.9397877959156822,0.9397877959156822,0.9397877959156822,0.9397877959156822,0.4698938979578411,0.9397877959156822,1.4096816938735233,1.8795755918313644,1.8795755918313644,1.8795755918313644,2.3494694897892057,2.3494694897892057,2.3494694897892057,1.8795755918313644,0.9397877959156822,1.4096816938735233,1.4096816938735233,0.9397877959156822,1.8795755918313644,1.4096816938735233,1.8795755918313644,1.8795755918313644,1.8795755918313644,2.3494694897892057,2.3494694897892057,1.4096816938735233,1.4096816938735233,1.8795755918313644,1.8795755918313644,1.4096816938735233,0.9397877959156822,2.3494694897892057,1.8795755918313644,1.8795755918313644,1.8795755918313644,2.3494694897892057,2.3494694897892057,2.3494694897892057,1.8795755918313644,2.8193633877470465,5.168832877536252,4.22904508162057,4.22904508162057,5.168832877536252,6.578514571409776,9.397877959156823,9.397877959156823,7.048408469367616,8.45809016324114,8.45809016324114,10.337665755072504,9.867771857114663,7.048408469367616,7.048408469367616,7.518302367325457,7.988196265283298,9.397877959156823,6.578514571409776,10.807559653030346,13.626923040777394,15.506498632608757,20.675331510145007,22.085013204018534,22.085013204018534,23.024800999934214,19.735543714229326,18.795755918313645,16.91618032648228,12.68713524486171,12.217241346903869,12.68713524486171,12.68713524486171,12.217241346903869,11.747347448946028,13.157029142819551,12.217241346903869,9.397877959156823,12.217241346903869,11.747347448946028,15.506498632608757,17.38607422444012,18.795755918313645,19.265649816271484,19.735543714229326,15.036604734650915,14.566710836693074,9.397877959156823,6.578514571409776,4.22904508162057
Bailey,D,11,7692,48017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8572171458286901,3.7144342916573803,3.7144342916573803,3.7144342916573803,3.7144342916573803,5.571651437486071,5.571651437486071,3.7144342916573803,1.8572171458286901,1.8572171458286901,1.8572171458286901,7.4288685833147605,5.571651437486071,9.286085729143451,13.000520020800831,13.000520020800831,13.000520020800831,13.000520020800831,7.4288685833147605,7.4288685833147605,3.7144342916573803,0.0,7.4288685833147605,7.4288685833147605,11.143302874972141,13.000520020800831,13.000520020800831,13.000520020800831,13.000520020800831,9.286085729143451,9.286085729143451,14.857737166629521,16.714954312458215,16.714954312458215,16.714954312458215,16.714954312458215,16.714954312458215,18.572171458286903,11.143302874972141,14.857737166629521,14.857737166629521,14.857737166629521,26.001040041601662,44.573211499888565,100.28972587474928,98.43250872892058,91.00364014560583,91.00364014560583,96.5752915830919,89.14642299977713,63.14538295817546,7.4288685833147605,9.286085729143451,18.572171458286903,18.572171458286903,13.000520020800831,11.143302874972141,26.001040041601662,26.001040041601662,26.001040041601662,16.714954312458215,16.714954312458215,16.714954312458215,26.001040041601662,16.714954312458215,18.572171458286903,18.572171458286903,18.572171458286903,18.572171458286903,18.572171458286903,7.4288685833147605,5.571651437486071,11.143302874972141,13.000520020800831,14.857737166629521,14.857737166629521,24.143822895772974,26.001040041601662,26.001040041601662,20.42938860411559,20.42938860411559,22.286605749944282,22.286605749944282,13.000520020800831,27.858257187430354,40.85877720823118,42.71599435405987,48.28764579154595,48.28764579154595,48.28764579154595,48.28764579154595,33.42990862491643,33.42990862491643
Bandera,B,25,21246,48019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6723954761232366,0.6723954761232366,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,2.0171864283697096,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,0.6723954761232366,0.0,0.0,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,1.3447909522464732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6723954761232366,0.6723954761232366,0.6723954761232366,0.6723954761232366,0.6723954761232366,0.6723954761232366,1.3447909522464732,4.034372856739419,5.379163808985893,5.379163808985893,5.379163808985893,6.05155928510913,5.379163808985893,4.706768332862656,2.0171864283697096,0.6723954761232366,0.6723954761232366,0.6723954761232366,0.0,4.034372856739419,4.706768332862656,4.706768332862656,7.396350237355603,7.396350237355603,7.396350237355603,7.396350237355603,4.034372856739419,7.396350237355603,10.085932141848549,11.430723094095022,11.430723094095022,11.430723094095022,11.430723094095022,12.775514046341495,9.413536665725312,6.05155928510913,2.0171864283697096,2.6895819044929463,2.6895819044929463,4.706768332862656,5.379163808985893,6.05155928510913,12.775514046341495,16.137491426957677,15.465095950834442,15.465095950834442,18.15467785532739,16.809886903080915,18.15467785532739,11.430723094095022,8.068745713478839,8.068745713478839,8.068745713478839,3.361977380616183,6.723954761232366
