Name,Section,Number,Population,FIPS,3-09,3-10,3-11,3-12,3-13,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,5-01,5-02,5-03,5-04,5-05,5-06,5-07,5-08,5-09,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-17,5-18,5-19,5-20,5-21,5-22,5-23,5-24,5-25,5-26,5-27,5-28,5-29,5-30,5-31,6-01,6-02,6-03,6-04,6-05,6-06,6-07,6-08,6-09,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-17,6-18,6-19,6-20,6-21,6-22,6-23,6-24,6-25,6-26,6-27,6-28,6-29,6-30,7-01,7-02,7-03,7-04,7-05,7-06,7-07,7-08,7-09,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-17,7-18,7-19,7-20,7-21,7-22,7-23,7-24,7-25,7-26,7-27,7-28,7-29,7-30,7-31,8-01,8-02,8-03,8-04,8-05
Anderson,J,11,58199,48001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17182425814876545,0.17182425814876545,0.17182425814876545,0.17182425814876545,0.17182425814876545,0.17182425814876545,0.17182425814876545,0.17182425814876545,0.3436485162975309,0.3436485162975309,0.5154727744462964,0.5154727744462964,0.5154727744462964,0.5154727744462964,0.6872970325950618,1.0309455488925927,1.0309455488925927,1.0309455488925927,1.3745940651901236,1.3745940651901236,1.7182425814876545,2.4055396140827163,2.4055396140827163,2.7491881303802472,2.7491881303802472,3.092836646677778,3.2646609048265436,3.9519579374216054,3.9519579374216054,4.982903486314198,5.154727744462964,5.4983762607604945,5.4983762607604945,5.4983762607604945,5.842024777058025,6.529321809653087,6.872970325950618,7.0447945840993835,7.0447945840993835,7.0447945840993835,7.0447945840993835,8.591212907438273,8.591212907438273,8.763037165587038,8.934861423735803,9.278509940033334,9.278509940033334,9.278509940033334,10.309455488925927,10.481279747074693,10.824928263372223,10.996752521520989,11.34040103781852,11.34040103781852,11.34040103781852,11.34040103781852,11.34040103781852,11.34040103781852,12.371346586711113,12.371346586711113,12.371346586711113,12.371346586711113,13.058643619306174,13.402292135603705,14.605061942645063,14.948710458942594,14.605061942645063,14.605061942645063,14.605061942645063,15.636007491537656,15.636007491537656,16.32330452413272,16.32330452413272,17.526074331174076,17.526074331174076,17.526074331174076,169.93419130912903,170.1060155672778,172.33973092321176,173.0270279558068,172.85520369765806,172.85520369765806,172.85520369765806,173.37067647210435,174.05797350469942,174.22979776284816,174.74527053729446,174.74527053729446,174.5734462791457,174.5734462791457,177.32263440952596,178.69722847471607,182.64918641213768,184.19560473547656,183.85195621917904,185.91384731696422,185.91384731696422,190.38127802883213,197.9415453873778,263.40658774205747,302.58251859997597,308.59636763518273,308.59636763518273,324.7478479011667,329.3871028711834,334.0263578412,336.0882489389852,344.1639890719772,346.5695286860599,346.5695286860599,346.2258801697624,352.41155346311797,354.3016203027544,356.8789841749859,363.5801302427877,367.7039124383581,367.7039124383581,368.0475609546556,371.4840461176309,373.2022886991186,373.5459372154161,377.32607089468894,379.5597862506229,379.5597862506229,396.3985635492019,400.17869722847473,404.64612794034264
Andrews,C,11,22269,48003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44905473977277827,2.6943284386366697,2.6943284386366697,4.4905473977277826,4.4905473977277826,4.4905473977277826,4.939602137500561,4.939602137500561,4.939602137500561,5.388656877273339,5.837711617046118,5.837711617046118,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.532040055682787,8.981094795455565,8.981094795455565,9.430149535228344,9.430149535228344,9.430149535228344,9.430149535228344,9.430149535228344,9.430149535228344,9.430149535228344,9.430149535228344,9.430149535228344,9.879204275001122,9.879204275001122,9.879204275001122,9.879204275001122,9.879204275001122,9.879204275001122,9.879204275001122,9.879204275001122,9.879204275001122,9.879204275001122,10.3282590147739,10.3282590147739,10.777313754546679,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.124477973865014,12.573532713637793,12.573532713637793,12.573532713637793,13.471642193183348,13.471642193183348,14.818806412501683,15.71691589204724,18.860299070456687,19.758408550002244,19.758408550002244,19.758408550002244,20.6565180295478,22.90179172841169,25.147065427275585,28.290448605685032,32.78099600341282,32.78099600341282,33.67910548295837,36.82248866136782,39.965871839777265,40.41492657955005,44.00736449773227,46.252638196596166,46.252638196596166,46.252638196596166,53.88656877273339,59.27522565000673,59.27522565000673,69.60348466478064,75.89025102159952,75.89025102159952,76.3393057613723,78.13552472046342,79.03363420000898,81.27890789887287,83.97323633750953,84.8713458170551,84.8713458170551,88.9128384750101,95.19960483182899,96.54676905114734,98.34298801023844,101.03731644887512,101.03731644887512,102.38448066819345,104.18069962728457,106.87502806592123,113.6108491625129,114.50895864205846,114.50895864205846,119.44856077955902,119.89761551933181,120.34667025910458,122.59194395796847
Angelina,J,23,90437,48005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11057421188230482,0.11057421188230482,0.11057421188230482,0.33172263564691445,0.33172263564691445,0.4422968475292193,0.552871059411524,0.552871059411524,0.8845936950584385,1.105742118823048,1.105742118823048,1.5480389663522673,1.5480389663522673,1.5480389663522673,1.6586131782345723,1.769187390116877,1.769187390116877,1.769187390116877,1.769187390116877,1.8797616019991819,1.8797616019991819,2.211484237646096,2.543206873293011,2.543206873293011,2.543206873293011,2.543206873293011,2.98550372082223,3.3172263564691447,3.4278005683514494,3.648948992116059,3.9806716277629732,3.9806716277629732,3.9806716277629732,5.086413746586022,5.418136382232936,5.8604332297621555,5.97100744164446,6.081581653526765,6.081581653526765,6.081581653526765,8.735362738702081,9.509382221878214,10.283401705054349,11.057421188230482,11.057421188230482,11.057421188230482,11.057421188230482,12.937182790229663,12.937182790229663,13.158331213994273,14.48522175658193,15.369815451640369,15.369815451640369,15.369815451640369,17.02842862987494,17.02842862987494,18.57646759622721,19.018764443756428,19.350487079403344,19.350487079403344,19.350487079403344,19.350487079403344,21.34082289328483,22.22541658834327,22.44656501210788,22.667713435872486,22.667713435872486,22.667713435872486,23.773455554695534,25.653217156694716,25.653217156694716,25.653217156694716,26.20608821610624,26.20608821610624,26.20608821610624,26.20608821610624,31.071353538927653,31.071353538927653,34.16743147163219,34.16743147163219,34.16743147163219,34.16743147163219,36.60006413304289,38.9221225825713,38.9221225825713,40.47016154892356,42.01820051527583,42.01820051527583,42.01820051527583,45.8882979311565,47.104614261861855,49.20552428762564,51.30643431338943,51.30643431338943,51.30643431338943,51.30643431338943,52.633324855977094,56.061125424328544,57.3880159669162,59.82064862832691,59.82064862832691,59.82064862832691,59.82064862832691,67.45026924820594,67.45026924820594,71.3203666640866,75.52218671561418,82.15663942855248,82.15663942855248,82.15663942855248,92.21889270984222,92.21889270984222,103.93975916936652,110.57421188230482,110.57421188230482,110.57421188230482,110.57421188230482,110.57421188230482,136.44857746276415,136.44857746276415,152.92413503322757,155.35676769463828,155.35676769463828,155.35676769463828,164.42385306898726,173.15921580768935,177.58218428298153,177.58218428298153,182.11572697015603,182.11572697015603,182.11572697015603,192.9519997346219,194.05774185344495
Aransas,N,29,27699,48007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3610238636773891,0.3610238636773891,0.3610238636773891,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,0.7220477273547782,1.0830715910321673,1.0830715910321673,1.0830715910321673,1.0830715910321673,1.0830715910321673,1.0830715910321673,1.4440954547095564,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,1.8051193183869454,2.1661431820643346,2.1661431820643346,2.1661431820643346,2.1661431820643346,2.5271670457417237,2.5271670457417237,2.5271670457417237,2.5271670457417237,2.5271670457417237,2.5271670457417237,2.5271670457417237,3.610238636773891,3.610238636773891,3.610238636773891,4.332286364128669,5.776381818838225,6.137405682515615,7.220477273547782,8.30354886457995,8.664572728257339,10.108668182966895,11.191739773999062,12.27481136503123,12.635835228708618,15.52402613812773,15.885050001805121,16.6070977291599,17.690169320192066,18.051193183869454,18.051193183869454,19.8563125022564,20.21733636593379,20.578360229611178,23.46655113903029,27.076789775804183,29.24293295786852,30.687028412578073,32.85317159464241,33.2141954583198,38.26852954980325,40.07364886819019,41.156720459222356,41.87876818657713,44.40593523231886,45.489006823351026,47.29412614173797,48.73822159644753,49.09924546012492,53.79255568793098,55.23665114264053,55.23665114264053,56.68074659735009,57.041770461027475,57.041770461027475,58.48586591573704
Archer,F,13,8344,48009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,1.1984659635666346,2.396931927133269,2.396931927133269,2.396931927133269,2.396931927133269,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,3.595397890699904,4.793863854266538,5.992329817833173,5.992329817833173,5.992329817833173,7.190795781399808,7.190795781399808,7.190795781399808,8.389261744966444,8.389261744966444,9.587727708533077,9.587727708533077,9.587727708533077,9.587727708533077,9.587727708533077,11.984659635666347,13.183125599232982,13.183125599232982,11.984659635666347,11.984659635666347,11.984659635666347,11.984659635666347,14.381591562799615,14.381591562799615,14.381591562799615,14.381591562799615,14.381591562799615,14.381591562799615,14.381591562799615,15.58005752636625,15.58005752636625,15.58005752636625,15.58005752636625,17.97698945349952,17.97698945349952,17.97698945349952,17.97698945349952,17.97698945349952,20.37392138063279,20.37392138063279,23.969319271332694,23.969319271332694,23.969319271332694,23.969319271332694,23.969319271332694
Armstrong,E,33,1948,48011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,5.13347022587269,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,10.26694045174538,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,15.40041067761807,20.53388090349076,20.53388090349076,20.53388090349076,20.53388090349076,25.66735112936345,25.66735112936345,25.66735112936345,25.66735112936345,41.06776180698152,41.06776180698152,41.06776180698152,46.20123203285421,35.93429158110883
Atascosa,N,14,51831,48013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.3858694603615597,0.5788041905423396,0.7717389207231194,0.9646736509038993,0.9646736509038993,1.350543111265459,1.543477841446239,1.7364125716270187,1.7364125716270187,1.7364125716270187,1.7364125716270187,1.7364125716270187,1.7364125716270187,1.9293473018077987,1.9293473018077987,2.3152167621693582,2.701086222530918,2.701086222530918,2.701086222530918,2.701086222530918,2.701086222530918,2.701086222530918,2.701086222530918,3.086955682892478,3.086955682892478,3.6657598734348174,3.6657598734348174,3.6657598734348174,3.6657598734348174,3.6657598734348174,3.6657598734348174,4.051629333796377,4.2445640639771565,4.2445640639771565,4.2445640639771565,4.2445640639771565,4.6304335243387165,5.2092377148810565,5.2092377148810565,5.2092377148810565,5.788041905423396,5.788041905423396,5.788041905423396,5.788041905423396,6.173911365784956,6.173911365784956,6.752715556327295,6.752715556327295,6.752715556327295,6.752715556327295,6.752715556327295,6.752715556327295,6.752715556327295,6.752715556327295,6.752715556327295,6.752715556327295,7.138585016688855,7.138585016688855,7.138585016688855,7.138585016688855,7.331519746869635,7.910323937411974,7.910323937411974,8.103258667592755,8.103258667592755,8.103258667592755,8.682062858135094,8.296193397773534,8.296193397773534,8.103258667592755,8.103258667592755,8.103258667592755,8.103258667592755,8.103258667592755,8.682062858135094,11.961953271208351,13.31249638247381,13.50543111265459,13.50543111265459,15.241843684281609,16.20651733518551,16.78532152572785,16.399452065366287,16.78532152572785,17.364125716270188,17.364125716270188,20.451081399162664,20.836950859524226,22.380428700970462,22.380428700970462,26.04618857440528,26.04618857440528,26.04618857440528,28.55434006675542,29.32607898747854,36.271729273986615,38.00814184561363,39.93748914742143,53.05705079971446,53.05705079971446,53.05705079971446,55.75813702224538,56.33694121278772,57.880419054233954,68.49182921417685,68.49182921417685,68.49182921417685,71.38585016688855,73.12226273851556,75.24454477050415,75.43747950068493,75.82334896104648,75.82334896104648,75.82334896104648,76.40215315158882,76.40215315158882,78.13856572321585,78.13856572321585,78.13856572321585,78.13856572321585,78.13856572321585,79.68204356466208,80.83965194574677
Austin,K,12,30402,48015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289257285704888,0.3289257285704888,0.3289257285704888,0.3289257285704888,0.6578514571409776,0.6578514571409776,0.6578514571409776,0.6578514571409776,1.3157029142819552,1.3157029142819552,1.3157029142819552,1.644628642852444,1.644628642852444,1.9735543714229327,2.3024800999934216,2.3024800999934216,2.6314058285639104,2.6314058285639104,3.289257285704888,3.6181830142753766,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,3.9471087428458653,4.276034471416354,4.276034471416354,4.276034471416354,4.276034471416354,4.276034471416354,4.276034471416354,4.276034471416354,4.604960199986843,4.604960199986843,4.604960199986843,4.9338859285573315,4.9338859285573315,4.9338859285573315,4.9338859285573315,4.9338859285573315,5.262811657127821,5.591737385698309,6.2495888428392865,6.2495888428392865,6.2495888428392865,6.578514571409776,6.578514571409776,6.907440299980264,6.907440299980264,6.907440299980264,7.236366028550753,7.236366028550753,7.236366028550753,7.894217485691731,7.894217485691731,8.223143214262219,8.223143214262219,8.552068942832708,8.880994671403197,8.880994671403197,8.880994671403197,8.880994671403197,9.538846128544174,9.538846128544174,9.538846128544174,9.538846128544174,10.525623314255641,10.196697585685152,10.196697585685152,10.85454904282613,11.183474771396618,11.183474771396618,11.183474771396618,11.841326228537596,12.170251957108086,13.814880599960528,13.814880599960528,14.143806328531017,14.801657785671996,15.788434971383461,18.419840799947373,18.748766528517862,18.748766528517862,19.735543714229326,20.064469442799815,22.038023814222747,22.695875271363725,23.353726728504704,23.682652457075193,24.011578185645682,25.327281099927635,26.642984014209592,26.642984014209592,30.26116702848497,32.892572857048876,34.53720149990132,38.484310242747185,40.78679034274061,42.102493257022566,42.760344714163544,44.076047628445494,46.04960199986843,46.37852772843892,47.365304914150386,49.33885928557332,50.98348792842576,51.64133938556674,52.628116571278206,54.27274521413065,55.5884481284126,55.91737385698309,55.91737385698309,59.53555687125847,59.86448259982896,63.482665614104334,66.44299717123873,68.74547727123216,69.40332872837314,69.73225445694362,70.0611801855141,70.0611801855141,70.0611801855141,71.04795737122558,71.70580882836656
Bailey,D,11,7692,48017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3000520020800832,2.6001040041601664,2.6001040041601664,2.6001040041601664,2.6001040041601664,3.9001560062402496,3.9001560062402496,3.9001560062402496,3.9001560062402496,3.9001560062402496,3.9001560062402496,7.800312012480499,7.800312012480499,10.400416016640666,13.000520020800833,13.000520020800833,13.000520020800833,13.000520020800833,13.000520020800833,13.000520020800833,13.000520020800833,13.000520020800833,18.200728029121166,18.200728029121166,20.80083203328133,22.100884035361414,22.100884035361414,22.100884035361414,22.100884035361414,24.70098803952158,24.70098803952158,31.201248049921997,33.801352054082166,33.801352054082166,33.801352054082166,33.801352054082166,36.40145605824233,37.70150806032241,39.0015600624025,44.20176807072283,44.20176807072283,44.20176807072283,52.00208008320333,67.60270410816433,107.9043161726469,107.9043161726469,107.9043161726469,107.9043161726469,111.80447217888715,114.40457618304733,111.80447217888715,113.10452418096725,114.40457618304733,120.90483619344774,120.90483619344774,120.90483619344774,122.20488819552783,130.00520020800832,131.3052522100884,132.60530421216848,132.60530421216848,132.60530421216848,132.60530421216848,140.40561622464898,141.70566822672907,144.30577223088923,145.60582423296933,145.60582423296933,145.60582423296933,145.60582423296933,145.60582423296933,145.60582423296933,152.10608424336974,154.7061882475299,156.00624024961,156.00624024961,162.5065002600104,163.8065522620905,163.8065522620905,166.40665626625065,169.0067602704108,171.606864274571,171.606864274571,171.606864274571,183.30733229329172,192.40769630785232,196.30785231409257,202.80811232449298,205.40821632865314,205.40821632865314,205.40821632865314,206.70826833073323,215.8086323452938
Bandera,B,25,21246,48019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47067683328626564,0.47067683328626564,0.9413536665725313,0.9413536665725313,0.9413536665725313,0.9413536665725313,0.9413536665725313,1.412030499858797,1.8827073331450626,1.8827073331450626,1.8827073331450626,1.8827073331450626,1.8827073331450626,1.8827073331450626,1.8827073331450626,1.8827073331450626,1.8827073331450626,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,2.824060999717594,3.2947378330038597,3.2947378330038597,3.2947378330038597,3.2947378330038597,3.2947378330038597,3.2947378330038597,3.765414666290125,6.1187988327214535,7.060152499293984,7.060152499293984,7.060152499293984,7.53082933258025,7.060152499293984,7.060152499293984,7.53082933258025,7.53082933258025,7.53082933258025,7.53082933258025,7.53082933258025,9.884213499011578,10.354890332297844,10.82556716558411,12.708274498729173,12.708274498729173,12.708274498729173,12.708274498729173,12.708274498729173,15.532335498446766,17.885719664878096,20.709780664595687,20.709780664595687,20.709780664595687,20.709780664595687,21.65113433116822,22.121811164454485,22.121811164454485,22.121811164454485,22.59248799774075,22.59248799774075,24.00451849759955,25.416548997458346,26.357902664030878,31.064670996893533,33.41805516332486,33.41805516332486,33.41805516332486,36.71279299632872,37.183469829614985,39.06617716276005,39.06617716276005,39.06617716276005,39.06617716276005,39.06617716276005,39.06617716276005,41.890238162477644
